M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,value_type,Type,Strides,TransactionByte,WordSize
30000,30000,  0.323800,10,32.000000,960000,36.318728,5.929586,4,CUSP,944490,128,32
30000,30000,  0.123500,10,32.000000,960000,95.222704,15.546559,4,CUSPARSE,944490,128,32
30000,30000,  0.552100,10,64.000000,1920000,42.166281,6.955262,4,CUSP,1888668,128,32
30000,30000,  0.242500,10,64.000000,1920000,96.000016,15.835052,4,CUSPARSE,1888668,128,32
30000,30000,  1.014500,10,128.000000,3840000,45.657964,7.570232,4,CUSP,3777190,128,32
30000,30000,  0.413200,10,128.000000,3840000,112.100687,18.586641,4,CUSPARSE,3777190,128,32
32000,32000,  0.020700,10,1.000000,32000,30.918068,3.091787,4,CUSP,31500,128,32
32000,32000,  0.021300,10,1.000000,32000,30.047136,3.004695,4,CUSPARSE,31500,128,32
32000,32000,  0.028400,10,2.000000,64000,36.056479,4.507042,4,CUSP,63003,128,32
32000,32000,  0.021600,10,2.000000,64000,47.407593,5.925926,4,CUSPARSE,63003,128,32
32000,32000,  0.047800,10,4.000000,128000,37.489623,5.355649,4,CUSP,126046,128,32
32000,32000,  0.024800,10,4.000000,128000,72.258226,10.322581,4,CUSPARSE,126046,128,32
32000,32000,  0.090800,10,8.000000,256000,36.652026,5.638767,4,CUSP,252088,128,32
32000,32000,  0.043800,10,8.000000,256000,75.981826,11.689498,4,CUSPARSE,252088,128,32
32000,32000,  0.173200,10,16.000000,512000,36.951524,5.912240,4,CUSP,504213,128,32
32000,32000,  0.078800,10,16.000000,512000,81.218325,12.994924,4,CUSPARSE,504213,128,32
32000,32000,  0.344100,10,32.000000,1024000,36.454531,5.951758,4,CUSP,1008172,128,32
32000,32000,  0.130300,10,32.000000,1024000,96.270177,15.717575,4,CUSPARSE,1008172,128,32
32000,32000,  0.588000,10,64.000000,2048000,42.231299,6.965986,4,CUSP,2016483,128,32
32000,32000,  0.258200,10,64.000000,2048000,96.173524,15.863672,4,CUSPARSE,2016483,128,32
32000,32000,  1.083300,10,128.000000,4096000,45.608792,7.562079,4,CUSP,4033105,128,32
32000,32000,  0.443000,10,128.000000,4096000,111.530483,18.492099,4,CUSPARSE,4033105,128,32
34000,34000,  0.020700,10,1.000000,34000,32.850435,3.285024,4,CUSP,33521,128,32
34000,34000,  0.022200,10,1.000000,34000,30.630811,3.063063,4,CUSPARSE,33521,128,32
34000,34000,  0.029100,10,2.000000,68000,37.388454,4.673540,4,CUSP,67017,128,32
34000,34000,  0.022300,10,2.000000,68000,48.789417,6.098655,4,CUSPARSE,67017,128,32
34000,34000,  0.050200,10,4.000000,136000,37.928367,5.418327,4,CUSP,134104,128,32
34000,34000,  0.025700,10,4.000000,136000,74.085759,10.583658,4,CUSPARSE,134104,128,32
34000,34000,  0.095800,10,8.000000,272000,36.910271,5.678497,4,CUSP,268137,128,32
34000,34000,  0.046800,10,8.000000,272000,75.555641,11.623932,4,CUSPARSE,268137,128,32
34000,34000,  0.183400,10,16.000000,544000,37.077448,5.932388,4,CUSP,536143,128,32
34000,34000,  0.082100,10,16.000000,544000,82.825871,13.252132,4,CUSPARSE,536143,128,32
34000,34000,  0.365600,10,32.000000,1088000,36.455153,5.951860,4,CUSP,1072209,128,32
34000,34000,  0.137500,10,32.000000,1088000,96.930938,15.825455,4,CUSPARSE,1072209,128,32
34000,34000,  0.624000,10,64.000000,2176000,42.282058,6.974359,4,CUSP,2144202,128,32
34000,34000,  0.274300,10,64.000000,2176000,96.186672,15.865840,4,CUSPARSE,2144202,128,32
34000,34000,  1.150600,10,128.000000,4352000,45.624895,7.564749,4,CUSP,4289566,128,32
34000,34000,  0.467400,10,128.000000,4352000,112.314942,18.622165,4,CUSPARSE,4289566,128,32
36000,36000,  0.022300,10,1.000000,36000,32.287175,3.228700,4,CUSP,35494,128,32
36000,36000,  0.023200,10,1.000000,36000,31.034655,3.103448,4,CUSPARSE,35494,128,32
36000,36000,  0.029800,10,2.000000,72000,38.657852,4.832215,4,CUSP,71005,128,32
36000,36000,  0.022500,10,2.000000,72000,51.200178,6.400000,4,CUSPARSE,71005,128,32
36000,36000,  0.053600,10,4.000000,144000,37.612015,5.373134,4,CUSP,142062,128,32
36000,36000,  0.027700,10,4.000000,144000,72.779928,10.397112,4,CUSPARSE,142062,128,32
36000,36000,  0.101200,10,8.000000,288000,36.996087,5.691700,4,CUSP,284081,128,32
36000,36000,  0.048300,10,8.000000,288000,77.515611,11.925466,4,CUSPARSE,284081,128,32
36000,36000,  0.193000,10,16.000000,576000,37.305720,5.968912,4,CUSP,568128,128,32
36000,36000,  0.085600,10,16.000000,576000,84.112196,13.457944,4,CUSPARSE,568128,128,32
36000,36000,  0.386100,10,32.000000,1152000,36.550127,5.967366,4,CUSP,1136310,128,32
36000,36000,  0.144900,10,32.000000,1152000,97.391332,15.900621,4,CUSPARSE,1136310,128,32
36000,36000,  0.660700,10,64.000000,2304000,42.282434,6.974421,4,CUSP,2272407,128,32
36000,36000,  0.288800,10,64.000000,2304000,96.731316,15.955679,4,CUSPARSE,2272407,128,32
36000,36000,  1.217600,10,128.000000,4608000,45.650463,7.568988,4,CUSP,4545283,128,32
36000,36000,  0.496800,10,128.000000,4608000,111.884066,18.550725,4,CUSPARSE,4545283,128,32
38000,38000,  0.022900,10,1.000000,38000,33.187948,3.318777,4,CUSP,37493,128,32
38000,38000,  0.023800,10,1.000000,38000,31.932941,3.193277,4,CUSPARSE,37493,128,32
38000,38000,  0.032300,10,2.000000,76000,37.647183,4.705882,4,CUSP,75011,128,32
38000,38000,  0.024300,10,2.000000,76000,50.041317,6.255144,4,CUSPARSE,75011,128,32
38000,38000,  0.056200,10,4.000000,152000,37.864840,5.409253,4,CUSP,150023,128,32
38000,38000,  0.029300,10,4.000000,152000,72.628123,10.375427,4,CUSPARSE,150023,128,32
38000,38000,  0.105800,10,8.000000,304000,37.353535,5.746692,4,CUSP,300041,128,32
38000,38000,  0.051600,10,8.000000,304000,76.589225,11.782946,4,CUSPARSE,300041,128,32
38000,38000,  0.203800,10,16.000000,608000,37.291482,5.966634,4,CUSP,600098,128,32
38000,38000,  0.089500,10,16.000000,608000,84.916246,13.586592,4,CUSPARSE,600098,128,32
38000,38000,  0.407400,10,32.000000,1216000,36.563584,5.969563,4,CUSP,1200022,128,32
38000,38000,  0.151600,10,32.000000,1216000,98.258602,16.042216,4,CUSPARSE,1200022,128,32
38000,38000,  0.697100,10,64.000000,2432000,42.300967,6.977478,4,CUSP,2400529,128,32
38000,38000,  0.304100,10,64.000000,2432000,96.968116,15.994739,4,CUSPARSE,2400529,128,32
38000,38000,  1.286300,10,128.000000,4864000,45.613002,7.562777,4,CUSP,4801238,128,32
38000,38000,  0.522500,10,128.000000,4864000,112.290917,18.618182,4,CUSPARSE,4801238,128,32
40000,40000,  0.023500,10,1.000000,40000,34.042723,3.404255,4,CUSP,39507,128,32
40000,40000,  0.025400,10,1.000000,40000,31.496220,3.149606,4,CUSPARSE,39507,128,32
40000,40000,  0.033600,10,2.000000,80000,38.095357,4.761905,4,CUSP,79093,128,32
